id,course_id,course_name,course_dept_id,credits,lecture_hours,practical_hours,tutorial_hours,regulation,course_type,REGULATION,Year,SEMESTER,for_dept,teaching_dept
356,FT23402,"Food Processing and Preservation Technology",Food Technology,3,3,0,0,2023,Theory,2023,2,4,Food Technology,Food Technology
357,FT23403,"Thermodynamics for Food Technologists",Food Technology,3,3,0,0,2023,Theory,2023,2,4,Food Technology,Mechanical Engineering
358,FT23411,Unit operations in Food Industries Laboratory,Food Technology,2,0,4,0,2023,Laboratory,2023,2,4,Food Technology,Food Technology
359,FT23412,Food Processing and Preservation Laboratory,Food Technology,2,0,4,0,2023,Laboratory,2023,2,4,Food Technology,Food Technology
360,FT23501,Food Analysis,Food Technology,3,3,0,0,2023,Theory,2023,3,5,Food Technology,Food Technology
361,FT23502,Food Product Technology,Food Technology,3,3,0,0,2023,Theory,2023,3,5,Food Technology,Food Technology
362,FT23503,"Heat and Mass Transfer in Food Processing",Food Technology,3,3,0,0,2023,Theory,2023,3,5,Food Technology,Food Technology
363,FT23511,Food Analysis Lab,Food Technology,2,0,4,0,2023,Laboratory,2023,3,5,Food Technology,Food Technology
364,FT23512,"Food Product Technology Laboratory",Food Technology,2,0,4,0,2023,Laboratory,2023,3,5,Food Technology,Food Technology
365,FT23601,Professional Ethics,Food Technology,3,3,0,0,2023,Theory,2023,3,6,Food Technology,Food Technology
366,FT23602,"Refrigeration and Cold Chain Management",Food Technology,3,3,0,0,2023,Theory,2023,3,6,Food Technology,Food Technology
367,FT23611,"Innovation and Design thinking for Food Technologists",Food Technology,2,0,4,0,2023,Laboratory,2023,3,6,Food Technology,Food Technology
368,FT23701,"Food Quality, Safety Standards and Certification",Food Technology,3,3,0,0,2023,Theory,2023,4,7,Food Technology,Food Technology
369,FT23702,"Comprehensive course for Food Technologists.",Food Technology,3,3,0,0,2023,Theory,2023,4,7,Food Technology,Food Technology
370,FT23703,"Functional Foods and Nutraceuticals",Food Technology,3,3,0,0,2023,Theory,2023,4,7,Food Technology,Food Technology
371,FT23704,Sensory evaluation in foods,Food Technology,2,3,0,0,2023,Theory,2023,4,7,Food Technology,Food Technology
372,FT23711,"Problem solving using AI-ML for Food Technologists.",Food Technology,2,0,4,0,2023,LOT,2023,4,7,Food Technology,Food Technology
373,FT23801,Internship/ Project Work,Food Technology,10,0,20,0,2023,Laboratory,2023,4,8,Food Technology,Food Technology
374,GE19304,Fundamentals of Management for Engineers,Mechanical Engineering,3,3,0,0,2023,Theory,2023,3,6,Mechatronics Engineering,Mechatronics
375,GE23111,Engineering Graphics,Mechanical Engineering,4,4,0,2,2023,Theory,2023,1,1,Robotics & Automation,Mechanical Engineering
376,GE23117,தமிழர் மரபு /Heritage of Tamils,Mechanical Engineering,1,1,0,0,2023,Theory,2023,1,1,Robotics & Automation,Robotics & Automation
